Title,Price,Location,BuildArea,NoOfBedrooms,NoOfBathrooms
PERMAI RIA 700sf Original Unit TANJUNG BUNGAH Near Vantage,RM 280 000,Tanjong Tokong,700 sq.ft.,3 Bedrooms,2 Bathrooms
The Oasis Condomonium (Renovated) For Sale,RM 585 000,Gelugor,1141 sq.ft.,3 Bedrooms,2 Bathrooms
Kayangan Puri Mutiara (KPM) / Pearlvue Heights For Sale Direct Owner,RM 420 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
flat desa wangsa,RM 210 000,Batu Maung,700 sq.ft.,2 Bedrooms,3 Bathrooms
AZURIA CONDO 700sf Fully Renovated TANJUNG BUNGAH Near Vantage,RM 350 000,Tanjung Bungah,700 sq.ft.,3 Bedrooms,2 Bathrooms
One Foresta Fully Furnished 2 Carparks Bayan Lepas WORTH BUY !!,RM 475 000,Bayan Lepas,900 sq.ft.,3 Bedrooms,2 Bathrooms
BEST BUY👍Renovated Taman Tanjung Apartment Raja Uda,RM 269 000,Butterworth,850 sq.ft.,3 Bedrooms,2 Bathrooms
2carpark Quayside Condo Partially furnished Seaview,RM 445 000,Butterworth,1328 sq.ft.,3 Bedrooms,2 Bathrooms
"Eco Terrace (New) Condominium with 2008sft at Paya Terubong ,Air Itam",RM 1 250 000,Paya Terubong,2008 sq.ft.,4 Bedrooms,4 Bathrooms
Below Market Price! Elit Heights Condo 1011sqft 2 Car Park Bayan Baru,RM 520 000,Bayan Lepas,1011 sq.ft.,3 Bedrooms,2 Bathrooms
Setia Triangle Condo Original 1295sf Low Density At Bayan Lepas Ftz,RM 525 000,Bayan Lepas,1295 sq.ft.,3 Bedrooms,2 Bathrooms
N Park FURNISH & RENO | Seaview 100% LOAN | Batu Uban | Near USM,RM 300 000,Gelugor,750 sq.ft.,3 Bedrooms,2 Bathrooms
Sri Abadi Apartment Sungai Ara Low Density 1 Car Park Freehold,RM 288 000,Sungai Ara,780 sq.ft.,3 Bedrooms,2 Bathrooms
"Ramah Pavilion 1050sf Furnished, Teluk Kumbar",RM 398 000,Bayan Lepas,1050 sq.ft.,3 Bedrooms,2 Bathrooms
LEADER GARDEN 1140sf Renovated TANJUNG BUNGAH Near Vantage,RM 480 000,Tanjung Bungah,1140 sq.ft.,3 Bedrooms,2 Bathrooms
Taman Mesra Indah Apartment Bagan Lalang,RM 280 000,Butterworth,970 sq.ft.,3 Bedrooms,2 Bathrooms
Villa Emas Condo WEll MAINTAIN GOOD CONDITION 1 Car Park Queensbay,RM 420 000,Bayan Lepas,850 sq.ft.,3 Bedrooms,2 Bathrooms
[WorthBuy] Arena Residence 1250sf Bayan Baru Basic unit 2car parks,RM 630 000,Bayan Baru,1250 sq.ft.,3 Bedrooms,2 Bathrooms
Taman Batu Uban 700sf 2 CAR PARK Renovated Furnish at Batu Uban,RM 280 000,Batu Uban,700 sq.ft.,3 Bedrooms,2 Bathrooms
Arena 1300sf Residence Suite Bayan Baru 3 Car parks,RM 660 000,Bayan Baru,1300 sq.ft.,3 Bedrooms,2 Bathrooms
One Foresta 900sf Low Floor 2 Carpark Bayan Lepas,RM 430 000,Bayan Lepas,900 sq.ft.,3 Bedrooms,2 Bathrooms
Forest Ville 1000sf Market View 2 Car Park At Bayan Lepas Ftz Airport,RM 495 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
Best Summer Place Nice View in Jelutong Karpal Singh Price Negotiable,RM 595 000,Georgetown,1100 sq.ft.,3 Bedrooms,2 Bathrooms
Tamarind Condo Renovated SEAVIEW 2 Car Park Tanjong Tokong Best Buy,RM 880 000,Tanjong Tokong,1047 sq.ft.,3 Bedrooms,2 Bathrooms
"Pangsapuri Seri Melur , 1070Sqft , Raja Uda , Butterworth , Bagan Ajam",RM 355 000,Butterworth,1070 sq.ft.,3 Bedrooms,2 Bathrooms
"Pangsapuri Sri Mekar , Newly Painted Unit , Bagan Lalang , Butterworth",RM 308 000,Butterworth,950 sq.ft.,3 Bedrooms,2 Bathrooms
Delima Intan｜Nearby Industrial Area｜Good Location Juru Near AutoCity,RM 245 000,Juru,786 sq.ft.,3 Bedrooms,2 Bathrooms
Flat paya terubung (GF),RM 160 000,Paya Terubong,550 sq.ft.,2 Bedrooms,1 Bathroom
